candidate_id;name;former_names;name_key;name_key_compact;name_key_without_prefix;eni;imo;year_built;length_m;width_m;passengers;operator;home_port;flag;flag_text;article_url;source_revision_id
CAN-71059B4A908A;A. I. Gertsen;;a i gertsen;aigertsen;a i gertsen;;;1959;95.8;14.3;;AkademFlot;Nischni Nowgorod;;Sowjetunion → Russland;;268617530
CAN-45FCC77A58AA;A. Matrosov;;a matrosov;amatrosov;a matrosov;;;1954;95.8;14.3;150;PassashirRetschTrans;Krasnojarsk;;Sowjetunion → Russland;https://de.wikipedia.org/wiki/A._Matrosov;268617530
CAN-38476BBDEFF2;A-Rosa Alva;;a rosa alva;arosaalva;a rosa alva;;9902158;2019;79.8;11.4;126;A-ROSA Flussschiff;;PT;Portugal;;268617530
CAN-BC855D113B4E;A-Rosa Aqua;;a rosa aqua;arosaaqua;a rosa aqua;04807500;9524176;2009;135.0;11.4;202;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Aqua;268617530
CAN-485799F10D72;A-Rosa Bella;;a rosa bella;arosabella;a rosa bella;04801170;9271482;2002;124.5;14.4;242;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Bella;268617530
CAN-E4B7B873B3BC;A-Rosa Brava;;a rosa brava;arosabrava;a rosa brava;04809910;;2011;135.0;11.4;202;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Brava;268617530
CAN-1E0916EE20CC;A-Rosa Donna;;a rosa donna;arosadonna;a rosa donna;04801130;9271470;2002;124.5;14.4;242;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Donna;268617530
CAN-0705978DBD47;A-Rosa Flora;;a rosa flora;arosaflora;a rosa flora;04810970;;2014;135.0;11.4;183;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Flora;268617530
CAN-C92553E67D3C;A-Rosa Luna;;a rosa luna;arosaluna;a rosa luna;04803520;;2004;125.8;11.4;174;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Luna;268617530
CAN-A8C69A4EAF7E;A-Rosa Mia;;a rosa mia;arosamia;a rosa mia;04801870;8979283;2003;124.5;14.4;242;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Mia;268617530
CAN-1989310A9291;A-Rosa Riva;;a rosa riva;arosariva;a rosa riva;04802780;8979295;2004;124.5;14.4;242;A-ROSA Flussschiff;Rostock;DE;Deutschland;https://de.wikipedia.org/wiki/A-Rosa_Riva;268617530
